"n","ID ADIS","Region","Region code","Province","Code province","Abbreviation province","Latitude","Longitude","No. animals","Species","HPAI strain","Confirmation date"
16,"IT-HPAI(NON-P)-2022-00025","SARDEGNA",20,"CAGLIARI",92,"CA",39.21531192,9.110616306,36,"Mallard duck (Anas platyrhynchos), Laying hen (Gallus gallus domesticus), Rock dove (Columba livia), Common peacock (Pavo cristatus)","H5N1",2022-11-07
17,"IT-HPAI(NON-P)-2022-00026","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Mute swan (Cygnus olor)","H5N1",2022-11-08
18,"IT-HPAI(NON-P)-2022-00027","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-10
19,"IT-HPAI(NON-P)-2022-00028","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-10
20,"IT-HPAI(NON-P)-2022-00029","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Mute swan (Cygnus olor)","H5N1",2022-11-10
21,"IT-HPAI(NON-P)-2022-00030","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Northern pintail (Anas acuta)","H5N1",2022-11-10
22,"IT-HPAI(NON-P)-2022-00031","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Great Spotted Woodpecker (Dendrocopos major)","H5N1",2022-11-12
23,"IT-HPAI(NON-P)-2022-00032","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Common buzzard (Buteo buteo)","H5N1",2022-12-14
24,"IT-HPAI(NON-P)-2022-00033","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Common teal (Anas crecca)","H5N1",2022-11-16
25,"IT-HPAI(NON-P)-2022-00034","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-11-17
26,"IT-HPAI(NON-P)-2022-00035","SARDEGNA",20,"ORISTANO",95,"OR",39.90381075,8.591183151,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-11-18
27,"IT-HPAI(NON-P)-2022-00036","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-11-22
28,"IT-HPAI(NON-P)-2022-00037","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common teal (Anas crecca)","H5N1",2022-11-23
29,"IT-HPAI(NON-P)-2022-00038","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common buzzard (Buteo buteo)","H5N1",2022-11-25
30,"IT-HPAI(NON-P)-2022-00039","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black-headed gull (Chroicocephalus ridibundus)","H5N1",2022-11-28
31,"IT-HPAI(NON-P)-2022-00040","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-25
32,"IT-HPAI(NON-P)-2022-00041","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-25
33,"IT-HPAI(NON-P)-2022-00042","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Common teal (Anas crecca)","H5N1",2022-11-26
34,"IT-HPAI(NON-P)-2022-00043","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,43,"Common teal (Anas crecca)","H5N1",2022-11-22
35,"IT-HPAI(NON-P)-2022-00044","LOMBARDIA",3,"PAVIA",18,"PV",45.18509264,9.160157191,1,"Common buzzard (Buteo buteo)","H5N1",2022-11-18
36,"IT-HPAI(NON-P)-2022-00045","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Eurasian wigeon (Mareca penelope)","H5N1",2022-12-02
37,"IT-HPAI(NON-P)-2022-00046","UMBRIA",10,"PERUGIA",54,"PG",43.10675841,12.38824698,1,"Mute swan (Cygnus olor)","H5N1",2022-12-06
38,"IT-HPAI(NON-P)-2022-00047","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Mute swan (Cygnus olor)","H5N1",2022-12-06
39,"IT-HPAI(NON-P)-2022-00048","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Mandarin duck (Aix galericulata)","H5N1",2022-12-14
40,"IT-HPAI(NON-P)-2022-00049","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Greater white-fronted goose (Anser albifrons)","H5N1",2022-12-14
41,"IT-HPAI(NON-P)-2022-00050","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-12-14
42,"IT-HPAI(NON-P)-2022-00051","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Eurasian collared dove (Streptopelia decaocto)","H5N1",2022-12-14
43,"IT-HPAI(NON-P)-2022-00052","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Greylag goose (Anser anser)","H5N1",2022-12-16
44,"IT-HPAI(NON-P)-2022-00053","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Common teal (Anas crecca)","H5N1",2022-12-19
45,"IT-HPAI(NON-P)-2022-00054","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-12-22
46,"IT-HPAI(NON-P)-2022-00055","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Grey heron (Ardea cinerea)","H5N1",2022-12-23
47,"IT-HPAI(NON-P)-2022-00056","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-12-22
48,"IT-HPAI(NON-P)-2022-00057","UMBRIA",10,"PERUGIA",54,"PG",43.10675841,12.38824698,1,"Peregrin falcon (Falco peregrinus)","H5N1",2022-12-30
49,"IT-HPAI(NON-P)-2023-00001","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Common kestrel (Falco tinnunculus)","H5N1",2023-01-03
50,"IT-HPAI(NON-P)-2023-00002","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,2,"Mute swan (Cygnus olor)","H5N1",2023-01-03
51,"IT-HPAI(NON-P)-2023-00003","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-01-05
52,"IT-HPAI(NON-P)-2023-00004","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Eurasian wigeon (Mareca penelope)","H5N1",2023-01-04
53,"IT-HPAI(NON-P)-2023-00005","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Mallard duck (Anas platyrhynchos)","H5N1",2023-01-04
54,"IT-HPAI(NON-P)-2023-00006","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,2,"Eurasian wigeon (Mareca penelope)","H5N1",2023-01-05
55,"IT-HPAI(NON-P)-2023-00007","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Mute swan (Cygnus olor)","H5N1",2023-01-10
56,"IT-HPAI(NON-P)-2023-00008","EMILIA ROMAGNA",8,"PIACENZA",33,"PC",45.05193462,9.692632596,1,"Common buzzard (Buteo buteo)","H5N1",2023-01-17
57,"IT-HPAI(NON-P)-2023-00009","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-01-27
58,"IT-HPAI(NON-P)-2023-00010","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-02-03
59,"IT-HPAI(NON-P)-2023-00011","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-09
60,"IT-HPAI(NON-P)-2023-00012","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,2,"Mute swan (Cygnus olor)","H5N1",2023-02-03
61,"IT-HPAI(NON-P)-2023-00013","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-02-10
62,"IT-HPAI(NON-P)-2023-00014","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-13
63,"IT-HPAI(NON-P)-2023-00015","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Common buzzard (Buteo buteo)","H5N1",2023-02-13
64,"IT-HPAI(NON-P)-2023-00016","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
65,"IT-HPAI(NON-P)-2023-00017","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
66,"IT-HPAI(NON-P)-2023-00018","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
67,"IT-HPAI(NON-P)-2023-00019","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
68,"IT-HPAI(NON-P)-2023-00020","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
69,"IT-HPAI(NON-P)-2023-00021","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
70,"IT-HPAI(NON-P)-2023-00022","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
71,"IT-HPAI(NON-P)-2023-00023","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
72,"IT-HPAI(NON-P)-2023-00024","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
73,"IT-HPAI(NON-P)-2023-00025","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
74,"IT-HPAI(NON-P)-2023-00026","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
75,"IT-HPAI(NON-P)-2023-00027","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-14
76,"IT-HPAI(NON-P)-2023-00028","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
77,"IT-HPAI(NON-P)-2023-00029","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,9,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
78,"IT-HPAI(NON-P)-2023-00030","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
79,"IT-HPAI(NON-P)-2023-00031","EMILIA ROMAGNA",8,"PIACENZA",33,"PC",45.05193462,9.692632596,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
80,"IT-HPAI(NON-P)-2023-00032","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-16
81,"IT-HPAI(NON-P)-2023-00033","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-17
82,"IT-HPAI(NON-P)-2023-00034","LOMBARDIA",3,"MONZA E BRIANZA",108,"MB",45.58439043,9.273582472,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-17
83,"IT-HPAI(NON-P)-2023-00035","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-20
84,"IT-HPAI(NON-P)-2023-00036","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-21
85,"IT-HPAI(NON-P)-2023-00037","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Eurasian collar dove (Streptopelia decaocto)","H5N1",2023-02-21
86,"44978","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-21
